company,year,change_in_close,high,low,name,Industry,Sector,state,founded,revenue_22_23_e9,market_cap_e12,income_tax_22_23_e9,emp_num,emissions_per_cap
AAPL,2021,48.16,$182.13,$178.53,Apple Inc.,Technology,Consumer Electronics,California,1976,387.53,2.52,18.314,164000,8.3
CSCO,2021,19.409999999999997,$64.285,$63.55,Cisco Systems Inc.,Technology,Communication Equipments,California,1984,53.16,0.208,2.665,83300,8.3
QCOM,2021,34.370000000000005,$192.68,$184.56,Qualcomm Inc.,Technology,Semiconductors,California,1985,42.95,0.138,2.012,51000,8.3
META,2021,67.41000000000003,$384.33,$378.81,Meta Platforms,Technology,Software Infrastructure,California,2004,116.6,0.524,5.619,86482,8.3
AMD,2021,51.60000000000001,$99.23,$99.82,Advanced Micro Devices (AMD) Inc.,Technology,Semiconductors,California,1969,23.6,0.155,-0.122,25000,8.3
NFLX,2021,79.58000000000004,$700.9894,$686.09,Netflix,Technology,Software Application,California,1997,31.61,0.136,0.772,12800,8.3
AAPL,2020,57.60249999999999,$99.955,$96.7425,Apple Inc.,Technology,Consumer Electronics,California,1976,387.53,2.52,18.314,164000,7.7
CSCO,2020,-3.6700000000000017,$50.28,$49.40,Cisco Systems Inc.,Technology,Communication Equipments,California,1984,53.16,0.208,2.665,83300,7.7
QCOM,2020,63.650000000000006,$96.17,$93.4229,Qualcomm Inc.,Technology,Semiconductors,California,1985,42.95,0.138,2.012,51000,7.7
META,2020,63.380000000000024,$304.67,$293.05,Meta Platforms,Technology,Software Infrastructure,California,2004,116.6,0.524,5.619,86482,7.7
AMD,2020,42.60999999999999,$97.98,$96.25,Advanced Micro Devices (AMD) Inc.,Technology,Semiconductors,California,1969,23.6,0.155,-0.122,25000,7.7
NFLX,2020,210.92000000000002,$575.37,$541.00,Netflix,Technology,Software Application,California,1997,31.61,0.136,0.772,12800,7.7
AAPL,2019,33.9325,$73.4925,$72.38,Apple Inc.,Technology,Consumer Electronics,California,1976,387.53,2.52,18.314,164000,9.1
CSCO,2019,5.009999999999998,$58.26,$57.87,Cisco Systems Inc.,Technology,Communication Equipments,California,1984,53.16,0.208,2.665,83300,9.1
QCOM,2019,30.830000000000005,$94.11,$90.89,Qualcomm Inc.,Technology,Semiconductors,California,1985,42.95,0.138,2.012,51000,9.1
META,2019,69.57,$208.93,$206.5875,Meta Platforms,Technology,Software Infrastructure,California,2004,116.6,0.524,5.619,86482,9.1
AMD,2019,27.03,$47.31,$45.975,Advanced Micro Devices (AMD) Inc.,Technology,Semiconductors,California,1969,23.6,0.155,-0.122,25000,9.1
NFLX,2019,55.90999999999997,$385.99,$378.80,Netflix,Technology,Software Application,California,1997,31.61,0.136,0.772,12800,9.1
AAPL,2018,-3.6299999999999955,$58.3675,$57.445,Apple Inc.,Technology,Consumer Electronics,California,1976,387.53,2.52,18.314,164000,9.1
CSCO,2018,4.469999999999999,$49.47,$49.07,Cisco Systems Inc.,Technology,Communication Equipments,California,1984,53.16,0.208,2.665,83300,9.1
QCOM,2018,-8.290000000000006,$76.50,$74.41,Qualcomm Inc.,Technology,Semiconductors,California,1985,42.95,0.138,2.012,51000,9.1
META,2018,-50.329999999999984,$218.62,$214.27,Meta Platforms,Technology,Software Infrastructure,California,2004,116.6,0.524,5.619,86482,9.1
AMD,2018,7.48,$9.84,$9.99,Advanced Micro Devices (AMD) Inc.,Technology,Semiconductors,California,1969,23.6,0.155,-0.122,25000,9.1
NFLX,2018,66.59000000000003,$423.2056,$413.08,Netflix,Technology,Software Application,California,1997,31.61,0.136,0.772,12800,9.1
AAPL,2017,13.269999999999996,$44.30,$43.715,Apple Inc.,Technology,Consumer Electronics,California,1976,387.53,2.52,18.314,164000,9.1
CSCO,2017,7.759999999999998,$38.995,$38.49,Cisco Systems Inc.,Technology,Communication Equipments,California,1984,53.16,0.208,2.665,83300,9.1
